index,from_square,action_type,move,action_desc
221,d1,2,d1d4,북(N) 방향 거리 3
222,d1,3,d1d5,북(N) 방향 거리 4
223,d1,4,d1d6,북(N) 방향 거리 5
224,d1,5,d1d7,북(N) 방향 거리 6
225,d1,6,d1d8,북(N) 방향 거리 7
226,d1,7,d1e1,동(E) 방향 거리 1
227,d1,8,d1f1,동(E) 방향 거리 2
228,d1,9,d1g1,동(E) 방향 거리 3
229,d1,10,d1h1,동(E) 방향 거리 4
230,d1,11,,동(E) 방향 거리 5
231,d1,12,,동(E) 방향 거리 6
232,d1,13,,동(E) 방향 거리 7
233,d1,14,,남(S) 방향 거리 1
234,d1,15,,남(S) 방향 거리 2
235,d1,16,,남(S) 방향 거리 3
236,d1,17,,남(S) 방향 거리 4
237,d1,18,,남(S) 방향 거리 5
238,d1,19,,남(S) 방향 거리 6
239,d1,20,,남(S) 방향 거리 7
240,d1,21,d1c1,서(W) 방향 거리 1
241,d1,22,d1b1,서(W) 방향 거리 2
242,d1,23,d1a1,서(W) 방향 거리 3
243,d1,24,,서(W) 방향 거리 4
244,d1,25,,서(W) 방향 거리 5
245,d1,26,,서(W) 방향 거리 6
246,d1,27,,서(W) 방향 거리 7
247,d1,28,d1e2,북동(NE) 방향 거리 1
248,d1,29,d1f3,북동(NE) 방향 거리 2
249,d1,30,d1g4,북동(NE) 방향 거리 3
250,d1,31,d1h5,북동(NE) 방향 거리 4
251,d1,32,,북동(NE) 방향 거리 5
252,d1,33,,북동(NE) 방향 거리 6
253,d1,34,,북동(NE) 방향 거리 7
254,d1,35,d1c2,북서(NW) 방향 거리 1
255,d1,36,d1b3,북서(NW) 방향 거리 2
256,d1,37,d1a4,북서(NW) 방향 거리 3
257,d1,38,,북서(NW) 방향 거리 4
258,d1,39,,북서(NW) 방향 거리 5
259,d1,40,,북서(NW) 방향 거리 6
260,d1,41,,북서(NW) 방향 거리 7
261,d1,42,,남동(SE) 방향 거리 1
262,d1,43,,남동(SE) 방향 거리 2
263,d1,44,,남동(SE) 방향 거리 3
264,d1,45,,남동(SE) 방향 거리 4
265,d1,46,,남동(SE) 방향 거리 5
266,d1,47,,남동(SE) 방향 거리 6
267,d1,48,,남동(SE) 방향 거리 7
268,d1,49,,남서(SW) 방향 거리 1
269,d1,50,,남서(SW) 방향 거리 2
270,d1,51,,남서(SW) 방향 거리 3
271,d1,52,,남서(SW) 방향 거리 4
272,d1,53,,남서(SW) 방향 거리 5
273,d1,54,,남서(SW) 방향 거리 6
274,d1,55,,남서(SW) 방향 거리 7
275,d1,56,d1e3,"나이트 이동 (+1,+2)"
276,d1,57,d1f2,"나이트 이동 (+2,+1)"
277,d1,58,,"나이트 이동 (+2,−1)"
278,d1,59,,"나이트 이동 (+1,−2)"
279,d1,60,,"나이트 이동 (−1,−2)"
280,d1,61,,"나이트 이동 (−2,−1)"
281,d1,62,d1b2,"나이트 이동 (−2,+1)"
282,d1,63,d1c3,"나이트 이동 (−1,+2)"
283,d1,64,,폰 직진 승격 → 나이트
284,d1,65,,폰 직진 승격 → 비숍
285,d1,66,,폰 직진 승격 → 룩
286,d1,67,,폰 대각선 우 승격 → 나이트
287,d1,68,,폰 대각선 우 승격 → 비숍
288,d1,69,,폰 대각선 우 승격 → 룩
289,d1,70,,폰 대각선 좌 승격 → 나이트
290,d1,71,,폰 대각선 좌 승격 → 비숍
291,d1,72,,폰 대각선 좌 승격 → 룩
292,e1,0,e1e2,북(N) 방향 거리 1
293,e1,1,e1e3,북(N) 방향 거리 2
294,e1,2,e1e4,북(N) 방향 거리 3
295,e1,3,e1e5,북(N) 방향 거리 4
296,e1,4,e1e6,북(N) 방향 거리 5
297,e1,5,e1e7,북(N) 방향 거리 6
298,e1,6,e1e8,북(N) 방향 거리 7
299,e1,7,e1f1,동(E) 방향 거리 1
300,e1,8,e1g1,동(E) 방향 거리 2
301,e1,9,e1h1,동(E) 방향 거리 3
302,e1,10,,동(E) 방향 거리 4
303,e1,11,,동(E) 방향 거리 5
304,e1,12,,동(E) 방향 거리 6
305,e1,13,,동(E) 방향 거리 7
306,e1,14,,남(S) 방향 거리 1
307,e1,15,,남(S) 방향 거리 2
308,e1,16,,남(S) 방향 거리 3
309,e1,17,,남(S) 방향 거리 4
310,e1,18,,남(S) 방향 거리 5
311,e1,19,,남(S) 방향 거리 6
312,e1,20,,남(S) 방향 거리 7
313,e1,21,e1d1,서(W) 방향 거리 1
314,e1,22,e1c1,서(W) 방향 거리 2
315,e1,23,e1b1,서(W) 방향 거리 3
316,e1,24,e1a1,서(W) 방향 거리 4
317,e1,25,,서(W) 방향 거리 5
318,e1,26,,서(W) 방향 거리 6
319,e1,27,,서(W) 방향 거리 7
320,e1,28,e1f2,북동(NE) 방향 거리 1
321,e1,29,e1g3,북동(NE) 방향 거리 2
322,e1,30,e1h4,북동(NE) 방향 거리 3
323,e1,31,,북동(NE) 방향 거리 4
324,e1,32,,북동(NE) 방향 거리 5
325,e1,33,,북동(NE) 방향 거리 6
326,e1,34,,북동(NE) 방향 거리 7
327,e1,35,e1d2,북서(NW) 방향 거리 1
328,e1,36,e1c3,북서(NW) 방향 거리 2
329,e1,37,e1b4,북서(NW) 방향 거리 3
330,e1,38,e1a5,북서(NW) 방향 거리 4
331,e1,39,,북서(NW) 방향 거리 5
332,e1,40,,북서(NW) 방향 거리 6
333,e1,41,,북서(NW) 방향 거리 7
334,e1,42,,남동(SE) 방향 거리 1
335,e1,43,,남동(SE) 방향 거리 2
336,e1,44,,남동(SE) 방향 거리 3
337,e1,45,,남동(SE) 방향 거리 4
338,e1,46,,남동(SE) 방향 거리 5
339,e1,47,,남동(SE) 방향 거리 6
340,e1,48,,남동(SE) 방향 거리 7
341,e1,49,,남서(SW) 방향 거리 1
342,e1,50,,남서(SW) 방향 거리 2
343,e1,51,,남서(SW) 방향 거리 3
344,e1,52,,남서(SW) 방향 거리 4
345,e1,53,,남서(SW) 방향 거리 5
346,e1,54,,남서(SW) 방향 거리 6
347,e1,55,,남서(SW) 방향 거리 7
348,e1,56,e1f3,"나이트 이동 (+1,+2)"
349,e1,57,e1g2,"나이트 이동 (+2,+1)"
350,e1,58,,"나이트 이동 (+2,−1)"
351,e1,59,,"나이트 이동 (+1,−2)"
352,e1,60,,"나이트 이동 (−1,−2)"
353,e1,61,,"나이트 이동 (−2,−1)"
354,e1,62,e1c2,"나이트 이동 (−2,+1)"
355,e1,63,e1d3,"나이트 이동 (−1,+2)"
356,e1,64,,폰 직진 승격 → 나이트
357,e1,65,,폰 직진 승격 → 비숍
358,e1,66,,폰 직진 승격 → 룩
359,e1,67,,폰 대각선 우 승격 → 나이트
360,e1,68,,폰 대각선 우 승격 → 비숍
361,e1,69,,폰 대각선 우 승격 → 룩
362,e1,70,,폰 대각선 좌 승격 → 나이트
363,e1,71,,폰 대각선 좌 승격 → 비숍
364,e1,72,,폰 대각선 좌 승격 → 룩
365,f1,0,f1f2,북(N) 방향 거리 1
366,f1,1,f1f3,북(N) 방향 거리 2
367,f1,2,f1f4,북(N) 방향 거리 3
368,f1,3,f1f5,북(N) 방향 거리 4
369,f1,4,f1f6,북(N) 방향 거리 5
370,f1,5,f1f7,북(N) 방향 거리 6
371,f1,6,f1f8,북(N) 방향 거리 7
372,f1,7,f1g1,동(E) 방향 거리 1
373,f1,8,f1h1,동(E) 방향 거리 2
374,f1,9,,동(E) 방향 거리 3
375,f1,10,,동(E) 방향 거리 4
376,f1,11,,동(E) 방향 거리 5
377,f1,12,,동(E) 방향 거리 6
378,f1,13,,동(E) 방향 거리 7
379,f1,14,,남(S) 방향 거리 1
380,f1,15,,남(S) 방향 거리 2
381,f1,16,,남(S) 방향 거리 3
382,f1,17,,남(S) 방향 거리 4
383,f1,18,,남(S) 방향 거리 5
384,f1,19,,남(S) 방향 거리 6
385,f1,20,,남(S) 방향 거리 7
386,f1,21,f1e1,서(W) 방향 거리 1
387,f1,22,f1d1,서(W) 방향 거리 2
388,f1,23,f1c1,서(W) 방향 거리 3
389,f1,24,f1b1,서(W) 방향 거리 4
390,f1,25,f1a1,서(W) 방향 거리 5
391,f1,26,,서(W) 방향 거리 6
392,f1,27,,서(W) 방향 거리 7
393,f1,28,f1g2,북동(NE) 방향 거리 1
394,f1,29,f1h3,북동(NE) 방향 거리 2
395,f1,30,,북동(NE) 방향 거리 3
396,f1,31,,북동(NE) 방향 거리 4
397,f1,32,,북동(NE) 방향 거리 5
398,f1,33,,북동(NE) 방향 거리 6
399,f1,34,,북동(NE) 방향 거리 7
400,f1,35,f1e2,북서(NW) 방향 거리 1
401,f1,36,f1d3,북서(NW) 방향 거리 2
402,f1,37,f1c4,북서(NW) 방향 거리 3
403,f1,38,f1b5,북서(NW) 방향 거리 4
404,f1,39,f1a6,북서(NW) 방향 거리 5
405,f1,40,,북서(NW) 방향 거리 6
406,f1,41,,북서(NW) 방향 거리 7
407,f1,42,,남동(SE) 방향 거리 1
408,f1,43,,남동(SE) 방향 거리 2
409,f1,44,,남동(SE) 방향 거리 3
410,f1,45,,남동(SE) 방향 거리 4
411,f1,46,,남동(SE) 방향 거리 5
412,f1,47,,남동(SE) 방향 거리 6
413,f1,48,,남동(SE) 방향 거리 7
414,f1,49,,남서(SW) 방향 거리 1
415,f1,50,,남서(SW) 방향 거리 2
416,f1,51,,남서(SW) 방향 거리 3
417,f1,52,,남서(SW) 방향 거리 4
418,f1,53,,남서(SW) 방향 거리 5
419,f1,54,,남서(SW) 방향 거리 6
420,f1,55,,남서(SW) 방향 거리 7
421,f1,56,f1g3,"나이트 이동 (+1,+2)"
422,f1,57,f1h2,"나이트 이동 (+2,+1)"
423,f1,58,,"나이트 이동 (+2,−1)"
424,f1,59,,"나이트 이동 (+1,−2)"
425,f1,60,,"나이트 이동 (−1,−2)"
426,f1,61,,"나이트 이동 (−2,−1)"
427,f1,62,f1d2,"나이트 이동 (−2,+1)"
428,f1,63,f1e3,"나이트 이동 (−1,+2)"
429,f1,64,,폰 직진 승격 → 나이트
430,f1,65,,폰 직진 승격 → 비숍
431,f1,66,,폰 직진 승격 → 룩
432,f1,67,,폰 대각선 우 승격 → 나이트
433,f1,68,,폰 대각선 우 승격 → 비숍
434,f1,69,,폰 대각선 우 승격 → 룩
435,f1,70,,폰 대각선 좌 승격 → 나이트
436,f1,71,,폰 대각선 좌 승격 → 비숍
437,f1,72,,폰 대각선 좌 승격 → 룩
438,g1,0,g1g2,북(N) 방향 거리 1
439,g1,1,g1g3,북(N) 방향 거리 2
440,g1,2,g1g4,북(N) 방향 거리 3
441,g1,3,g1g5,북(N) 방향 거리 4
442,g1,4,g1g6,북(N) 방향 거리 5
443,g1,5,g1g7,북(N) 방향 거리 6
444,g1,6,g1g8,북(N) 방향 거리 7
445,g1,7,g1h1,동(E) 방향 거리 1
446,g1,8,,동(E) 방향 거리 2
447,g1,9,,동(E) 방향 거리 3
448,g1,10,,동(E) 방향 거리 4
449,g1,11,,동(E) 방향 거리 5
450,g1,12,,동(E) 방향 거리 6
451,g1,13,,동(E) 방향 거리 7
452,g1,14,,남(S) 방향 거리 1
453,g1,15,,남(S) 방향 거리 2
454,g1,16,,남(S) 방향 거리 3
455,g1,17,,남(S) 방향 거리 4
456,g1,18,,남(S) 방향 거리 5
457,g1,19,,남(S) 방향 거리 6
458,g1,20,,남(S) 방향 거리 7
459,g1,21,g1f1,서(W) 방향 거리 1
460,g1,22,g1e1,서(W) 방향 거리 2
461,g1,23,g1d1,서(W) 방향 거리 3
462,g1,24,g1c1,서(W) 방향 거리 4
463,g1,25,g1b1,서(W) 방향 거리 5
464,g1,26,g1a1,서(W) 방향 거리 6
465,g1,27,,서(W) 방향 거리 7
466,g1,28,g1h2,북동(NE) 방향 거리 1
467,g1,29,,북동(NE) 방향 거리 2
468,g1,30,,북동(NE) 방향 거리 3
469,g1,31,,북동(NE) 방향 거리 4
470,g1,32,,북동(NE) 방향 거리 5
471,g1,33,,북동(NE) 방향 거리 6
472,g1,34,,북동(NE) 방향 거리 7
473,g1,35,g1f2,북서(NW) 방향 거리 1
474,g1,36,g1e3,북서(NW) 방향 거리 2
475,g1,37,g1d4,북서(NW) 방향 거리 3
476,g1,38,g1c5,북서(NW) 방향 거리 4
477,g1,39,g1b6,북서(NW) 방향 거리 5
478,g1,40,g1a7,북서(NW) 방향 거리 6
479,g1,41,,북서(NW) 방향 거리 7
480,g1,42,,남동(SE) 방향 거리 1
481,g1,43,,남동(SE) 방향 거리 2
482,g1,44,,남동(SE) 방향 거리 3
483,g1,45,,남동(SE) 방향 거리 4
484,g1,46,,남동(SE) 방향 거리 5
485,g1,47,,남동(SE) 방향 거리 6
486,g1,48,,남동(SE) 방향 거리 7
487,g1,49,,남서(SW) 방향 거리 1
488,g1,50,,남서(SW) 방향 거리 2
489,g1,51,,남서(SW) 방향 거리 3
490,g1,52,,남서(SW) 방향 거리 4
491,g1,53,,남서(SW) 방향 거리 5
492,g1,54,,남서(SW) 방향 거리 6
493,g1,55,,남서(SW) 방향 거리 7
494,g1,56,g1h3,"나이트 이동 (+1,+2)"
495,g1,57,,"나이트 이동 (+2,+1)"
496,g1,58,,"나이트 이동 (+2,−1)"
497,g1,59,,"나이트 이동 (+1,−2)"
498,g1,60,,"나이트 이동 (−1,−2)"
499,g1,61,,"나이트 이동 (−2,−1)"
500,g1,62,g1e2,"나이트 이동 (−2,+1)"
501,g1,63,g1f3,"나이트 이동 (−1,+2)"
502,g1,64,,폰 직진 승격 → 나이트
503,g1,65,,폰 직진 승격 → 비숍
504,g1,66,,폰 직진 승격 → 룩
505,g1,67,,폰 대각선 우 승격 → 나이트
506,g1,68,,폰 대각선 우 승격 → 비숍
507,g1,69,,폰 대각선 우 승격 → 룩
508,g1,70,,폰 대각선 좌 승격 → 나이트
509,g1,71,,폰 대각선 좌 승격 → 비숍
510,g1,72,,폰 대각선 좌 승격 → 룩
511,h1,0,h1h2,북(N) 방향 거리 1
512,h1,1,h1h3,북(N) 방향 거리 2
513,h1,2,h1h4,북(N) 방향 거리 3
514,h1,3,h1h5,북(N) 방향 거리 4
515,h1,4,h1h6,북(N) 방향 거리 5
516,h1,5,h1h7,북(N) 방향 거리 6
517,h1,6,h1h8,북(N) 방향 거리 7
518,h1,7,,동(E) 방향 거리 1
519,h1,8,,동(E) 방향 거리 2
520,h1,9,,동(E) 방향 거리 3
521,h1,10,,동(E) 방향 거리 4
522,h1,11,,동(E) 방향 거리 5
523,h1,12,,동(E) 방향 거리 6
524,h1,13,,동(E) 방향 거리 7
525,h1,14,,남(S) 방향 거리 1
526,h1,15,,남(S) 방향 거리 2
527,h1,16,,남(S) 방향 거리 3
528,h1,17,,남(S) 방향 거리 4
529,h1,18,,남(S) 방향 거리 5
530,h1,19,,남(S) 방향 거리 6
531,h1,20,,남(S) 방향 거리 7
532,h1,21,h1g1,서(W) 방향 거리 1
533,h1,22,h1f1,서(W) 방향 거리 2
534,h1,23,h1e1,서(W) 방향 거리 3
535,h1,24,h1d1,서(W) 방향 거리 4
536,h1,25,h1c1,서(W) 방향 거리 5
537,h1,26,h1b1,서(W) 방향 거리 6
538,h1,27,h1a1,서(W) 방향 거리 7
539,h1,28,,북동(NE) 방향 거리 1
540,h1,29,,북동(NE) 방향 거리 2
541,h1,30,,북동(NE) 방향 거리 3
542,h1,31,,북동(NE) 방향 거리 4
543,h1,32,,북동(NE) 방향 거리 5
544,h1,33,,북동(NE) 방향 거리 6
545,h1,34,,북동(NE) 방향 거리 7
546,h1,35,h1g2,북서(NW) 방향 거리 1
547,h1,36,h1f3,북서(NW) 방향 거리 2
548,h1,37,h1e4,북서(NW) 방향 거리 3
549,h1,38,h1d5,북서(NW) 방향 거리 4
550,h1,39,h1c6,북서(NW) 방향 거리 5
551,h1,40,h1b7,북서(NW) 방향 거리 6
552,h1,41,h1a8,북서(NW) 방향 거리 7
553,h1,42,,남동(SE) 방향 거리 1
554,h1,43,,남동(SE) 방향 거리 2
555,h1,44,,남동(SE) 방향 거리 3
556,h1,45,,남동(SE) 방향 거리 4
557,h1,46,,남동(SE) 방향 거리 5
558,h1,47,,남동(SE) 방향 거리 6
559,h1,48,,남동(SE) 방향 거리 7
560,h1,49,,남서(SW) 방향 거리 1
561,h1,50,,남서(SW) 방향 거리 2
562,h1,51,,남서(SW) 방향 거리 3
563,h1,52,,남서(SW) 방향 거리 4
564,h1,53,,남서(SW) 방향 거리 5
565,h1,54,,남서(SW) 방향 거리 6
566,h1,55,,남서(SW) 방향 거리 7
567,h1,56,,"나이트 이동 (+1,+2)"
568,h1,57,,"나이트 이동 (+2,+1)"
569,h1,58,,"나이트 이동 (+2,−1)"
570,h1,59,,"나이트 이동 (+1,−2)"
571,h1,60,,"나이트 이동 (−1,−2)"
572,h1,61,,"나이트 이동 (−2,−1)"
573,h1,62,h1f2,"나이트 이동 (−2,+1)"
574,h1,63,h1g3,"나이트 이동 (−1,+2)"
575,h1,64,,폰 직진 승격 → 나이트
576,h1,65,,폰 직진 승격 → 비숍
577,h1,66,,폰 직진 승격 → 룩
578,h1,67,,폰 대각선 우 승격 → 나이트
579,h1,68,,폰 대각선 우 승격 → 비숍
580,h1,69,,폰 대각선 우 승격 → 룩
